food_name,category,food_group,serving_unit,calories_per_serving,serving_weight_g
Ragi Roti,Veg,Staple,1 roti,120,50
Jowar Roti,Veg,Staple,1 roti,110,50
Bajra Roti,Veg,Staple,1 roti,120,50
Makki di Roti,Veg,Staple,1 roti,200,70
Missi Roti,Veg,Staple,1 roti,130,50
Roti with Ghee,Veg,Staple,1 roti,130,45
Rumali Roti,Veg,Staple,1 roti,120,45
Garlic Naan,Veg,Staple,1 naan,320,95
Kulcha,Veg,Staple,1 kulcha,210,80
Lachha Paratha,Veg,Staple,1 paratha,260,90
Paneer Paratha,Veg,Staple,1 paratha,300,115
Methi Paratha,Veg,Staple,1 paratha,200,85
Onion Paratha,Veg,Staple,1 paratha,250,95
Mooli Paratha,Veg,Staple,1 paratha,240,95
Thepla,Veg,Staple,1 thepla,130,40
Atta Noodles,Veg,Staple,1 pack cooked,300,300
Tomato Rice,Veg,Staple,1 cup,230,150
Tamarind Rice (Puliyogare),Veg,Staple,1 cup,260,150
Bisi Bele Bath,Veg,Staple,1 cup,260,150
Veg Fried Rice,Veg,Staple,1 cup,250,150
Chicken Fried Rice,Non-Veg,Staple,1 cup,290,150
Egg Fried Rice,Non-Veg,Staple,1 cup,260,150
Ghee Rice,Veg,Staple,1 cup,280,150
Moong Dal,Veg,Curry,1 cup,150,150
Masoor Dal,Veg,Curry,1 cup,160,150
Chana Dal,Veg,Curry,1 cup,190,150
Dal Fry,Veg,Curry,1 cup,200,150
Kala Chana Curry,Veg,Curry,1 cup,210,150
Lobia (Black-Eyed Peas) Curry,Veg,Curry,1 cup,200,150
Green Peas Masala,Veg,Curry,1 cup,180,150
Matar Paneer,Veg,Curry,1 cup,280,150
Shahi Paneer,Veg,Curry,1 cup,350,150
Paneer Bhurji,Veg,Curry,1 cup,290,150
Paneer Tikka,Veg,Curry,6 pieces,280,150
Chilli Paneer,Veg,Curry,1 cup,320,150
Veg Manchurian,Veg,Curry,1 cup,280,150
Gobi Manchurian,Veg,Curry,1 cup,260,150
Veg Korma,Veg,Curry,1 cup,230,150
Navratan Korma,Veg,Curry,1 cup,280,150
Aloo Matar,Veg,Curry,1 cup,180,150
Jeera Aloo,Veg,Curry,1 cup,160,150
Dum Aloo,Veg,Curry,1 cup,220,150
Methi Aloo,Veg,Curry,1 cup,160,150
Lauki Sabzi,Veg,Curry,1 cup,100,150
Karela Sabzi,Veg,Curry,1 cup,110,150
Cabbage Sabzi,Veg,Curry,1 cup,100,150
Beans Poriyal,Veg,Curry,1 cup,120,150
Avial,Veg,Curry,1 cup,150,150
Kootu,Veg,Curry,1 cup,140,150
Rasam,Veg,Curry,1 cup,60,150
Sarson ka Saag,Veg,Curry,1 cup,180,150
Soya Chunk Curry,Veg,Curry,1 cup,220,150
Chilli Chicken,Non-Veg,Curry,1 cup,320,150
Chicken Seekh Kebab,Non-Veg,Curry,2 kebabs,220,100
Chicken Lollipop,Non-Veg,Curry,4 pieces,300,120
Grilled Chicken Breast,Non-Veg,Curry,100 g,165,100
Chicken Stew,Non-Veg,Curry,1 cup,250,150
Mutton Rogan Josh,Non-Veg,Curry,1 cup,330,150
Fish Tikka,Non-Veg,Curry,6 pieces,240,120
Aloo Tikki,Veg,Snack,1 tikki,180,70
Batata Vada,Veg,Snack,1 vada,200,90
Dahi Puri,Veg,Snack,6 puris,260,160
Dahi Bhalla,Veg,Snack,2 pieces,240,150
Papdi Chaat,Veg,Snack,1 plate,300,300
Aloo Chaat,Veg,Snack,1 plate,250,300
Masala Sweet Corn,Veg,Snack,1 cup,140,150
Murmura (Puffed Rice),Veg,Snack,1 bowl,55,200
Khakhra,Veg,Snack,1 khakhra,120,15
Fafda,Veg,Snack,2 pieces,180,40
Handvo,Veg,Snack,1 piece,180,100
Khandvi,Veg,Snack,5 pieces,150,100
Misal Pav,Veg,Snack,1 plate,450,300
Veg Cutlet,Veg,Snack,1 cutlet,150,60
Paneer Pakora,Veg,Snack,4 pieces,300,100
Bread Pakora,Veg,Snack,1 piece,260,100
Sabudana Vada,Veg,Snack,1 vada,160,60
Aloo Bhujia,Veg,Snack,30 g,160,30
Namkeen Mixture,Veg,Snack,30 g,160,30
Mathri,Veg,Snack,2 pieces,200,50
Murukku (Chakli),Veg,Snack,2 pieces,150,40
Banana Chips,Veg,Snack,30 g,160,30
Potato Chips,Veg,Snack,30 g,160,30
Roasted Makhana,Veg,Snack,1 cup,100,150
Popcorn (plain),Veg,Snack,2 cups,60,300
Veg Kathi Roll,Veg,Snack,1 roll,350,150
Chicken Kathi Roll,Non-Veg,Snack,1 roll,420,180
Chicken Shawarma Roll,Non-Veg,Snack,1 roll,400,180
Veg Burger,Veg,Snack,1 burger,350,150
Pizza Slice,Veg,Snack,1 slice,250,100
White Sauce Pasta,Veg,Snack,1 cup,350,150
Cheese Sandwich,Veg,Snack,1 sandwich,280,140
Tomato Soup,Veg,Other,1 bowl,100,200
Sweet Corn Soup,Veg,Other,1 bowl,130,200
Ragi Halwa,Veg,Sweet,0.5 cup,220,75
Oats Halwa,Veg,Sweet,0.5 cup,240,75
Sooji Halwa,Veg,Sweet,0.5 cup,240,75
Atta Halwa,Veg,Sweet,0.5 cup,250,75
Moong Dal Halwa,Veg,Sweet,0.5 cup,300,75
Lauki Halwa,Veg,Sweet,0.5 cup,200,75
Badam Halwa,Veg,Sweet,0.5 cup,320,75
Motichoor Ladoo,Veg,Sweet,1 ladoo,150,40
Rava Ladoo,Veg,Sweet,1 ladoo,140,40
Til Ladoo,Veg,Sweet,1 ladoo,120,35
Peanut Chikki,Veg,Sweet,1 piece (25 g),120,25
Mysore Pak,Veg,Sweet,1 piece,200,50
Sandesh,Veg,Sweet,1 piece,100,40
Peda,Veg,Sweet,1 piece,110,30
Milk Barfi,Veg,Sweet,1 piece,150,35
Coconut Barfi,Veg,Sweet,1 piece,160,35
Soan Papdi,Veg,Sweet,1 piece,150,35
Balushahi,Veg,Sweet,1 piece,220,60
Shrikhand,Veg,Sweet,0.5 cup,240,75
Basundi,Veg,Sweet,0.5 cup,250,75
Phirni,Veg,Sweet,0.5 cup,220,75
Sheer Khurma,Veg,Sweet,1 cup,300,150
Modak,Veg,Sweet,1 modak,130,45
Puran Poli,Veg,Sweet,1 poli,300,100
Malpua,Veg,Sweet,1 piece,220,70
Cheese Slice,Veg,Dairy,1 slice,70,20
Flavored Yogurt,Veg,Dairy,1 cup,150,150
Milk with Bournvita,Veg,Dairy,1 cup,220,150
Soya Milk,Veg,Dairy,1 cup,80,150
Almonds,Veg,Snack,10 nuts,70,12
Cashews,Veg,Snack,10 nuts,90,15
Walnuts,Veg,Snack,5 halves,65,12
Roasted Peanuts,Veg,Snack,30 g,170,30
Dates,Veg,Snack,3 dates,70,25
Raisins,Veg,Snack,1 tbsp,45,10
Cold Coffee,Veg,Beverage,1 glass,200,250
Badam Milk,Veg,Beverage,1 glass,220,250
Banana Shake,Veg,Beverage,1 glass,230,250
Sugarcane Juice,Veg,Beverage,1 glass,180,250
Fresh Orange Juice,Veg,Beverage,1 glass,110,250
Mosambi Juice,Veg,Beverage,1 glass,120,250
Aam Panna,Veg,Beverage,1 glass,100,250
Jaljeera,Veg,Beverage,1 glass,30,250
Thandai,Veg,Beverage,1 glass,250,250
Green Tea,Veg,Beverage,1 cup,2,150
Salted Lassi (Namkeen),Veg,Beverage,1 glass,100,250
Sattu Drink,Veg,Beverage,1 glass,150,250
Pineapple,Veg,Fruit,1 cup cubes,82,165
Kiwi,Veg,Fruit,1 fruit,42,70
Strawberries,Veg,Fruit,1 cup,50,150
Custard Apple (Sitaphal),Veg,Fruit,1 medium,100,150
Lychee,Veg,Fruit,10 fruits,60,100
Muskmelon,Veg,Fruit,1 cup cubes,55,160
Pear,Veg,Fruit,1 medium,100,180
Cookie (Chocolate Chip),Veg,Snack,1 piece,75,15
Butter Cookie (Bakery),Veg,Snack,1 piece,60,12
Marie Biscuit,Veg,Snack,1 piece,25,6
Glucose Biscuit (Parle-G),Veg,Snack,1 piece,27,6
Cream Biscuit (Bourbon-type),Veg,Snack,1 piece,50,10
Digestive Biscuit,Veg,Snack,1 piece,70,15
Nankhatai,Veg,Sweet,1 piece,110,22
Khari Biscuit,Veg,Snack,1 piece,55,12
Rusk / Toast Biscuit,Veg,Snack,1 piece,40,9
